"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
40, 8106.68722798125, 3175.73355245442, 8106.68722798125, 8706.52981436916, 130.807786100482, 430.367123272999, 130.807786100482
41, 8360.51076259778, 3209.92376975332, 8360.51076259778, 8955.54302201383, 135.454427352199, 447.086057049231, 135.454427352199
42, 8107.61973760598, 3036.18044095389, 8360.51076259778, 8955.54302201383, 127.284743463082, 413.024845285232, 135.454427352199
43, 7638.1495918465, 2838.58412723206, 8360.51076259778, 8955.54302201383, 115.166238279435, 365.979628234499, 135.454427352199
44, 7631.08454393454, 2835.82224209965, 8360.51076259778, 8955.54302201383, 115.002421692039, 365.420726322416, 135.454427352199
45, 6492.05486976284, 2363.65414271452, 8360.51076259778, 8955.54302201383, 90.786342308273, 265.524606509515, 135.454427352199
46, 7376.03852449791, 2731.60003256394, 8360.51076259778, 8955.54302201383, 109.133757228097, 344.951296625218, 135.454427352199
47, 178.055287374004, 36.0447356000147, 8360.51076259778, 8955.54302201383, 25.1183431329983, 1.93069758774825, 135.454427352199
48, 995.103602469708, 314.229430461709, 8360.51076259778, 8955.54302201383, 27.4946309948244, 12.3145295079138, 135.454427352199
49, 1319.10410439068, 426.437833487542, 8360.51076259778, 8955.54302201383, 28.2066994298121, 15.5742163426737, 135.454427352199
50, 245.470531686301, 62.8953575317532, 8360.51076259778, 8955.54302201383, 25.1549237845076, 1.8884264112031, 135.454427352199
51, 1195.64886805397, 385.621698462916, 8360.51076259778, 8955.54302201383, 28.7151730924834, 17.8837709185645, 135.454427352199
52, 983.459558890897, 314.030392107575, 8360.51076259778, 8955.54302201383, 26.8040724818374, 9.55046754857664, 135.454427352199
53, 1042.29764402644, 329.634774387569, 8360.51076259778, 8955.54302201383, 27.3470328102634, 11.5642131753793, 135.454427352199
54, 827.679621930459, 258.267021986333, 8360.51076259778, 8955.54302201383, 26.5047953134975, 7.74921510716058, 135.454427352199
55, 7141.44683086347, 2627.27690099186, 8360.51076259778, 8955.54302201383, 102.432731773177, 318.147832956209, 135.454427352199
56, 7440.66230661192, 2757.98003762556, 8360.51076259778, 8955.54302201383, 110.450951454663, 348.59966162542, 135.454427352199
57, 8259.57927802346, 3121.21697016899, 8360.51076259778, 8955.54302201383, 131.623252588259, 431.306013276492, 135.454427352199
58, 8202.79969291479, 3170.38370383395, 8360.51076259778, 8955.54302201383, 131.74924683065, 434.082253854939, 135.454427352199
59, 8177.64792995862, 3231.5252110673, 8360.51076259778, 8955.54302201383, 133.393013788694, 442.746518652974, 135.454427352199
60, 8449.6942190141, 3381.50705122447, 8449.6942190141, 9101.20444404592, 142.001757158877, 478.359761578748, 142.001757158877
61, 8166.7957177165, 3290.50697230222, 8449.6942190141, 9101.20444404592, 135.210329706129, 452.335567692853, 142.001757158877
62, 9027.32943220044, 3650.96526447205, 9027.32943220044, 9737.67035999133, 158.927893098418, 547.138098360622, 158.927893098418
63, 9191.30062933558, 3680.08975550768, 9191.30062933558, 9900.65997130581, 162.270481036143, 558.95125163068, 162.270481036143
64, 9261.90169718363, 3651.96049171224, 9261.90169718363, 9955.88461570946, 162.580668011151, 558.216501095331, 162.580668011151
65, 9332.342300818, 3617.36587109494, 9332.342300818, 10008.8934785519, 163.016091634738, 558.15866181124, 163.016091634738
66, 8814.03740752398, 3339.8596679822, 9332.342300818, 10008.8934785519, 146.544702695435, 490.927275929909, 163.016091634738
67, 8084.41407079043, 3027.00882208772, 9332.342300818, 10008.8934785519, 126.634700990787, 411.533533769917, 163.016091634738
68, 8037.18415732881, 3007.25763102249, 9332.342300818, 10008.8934785519, 125.430651523012, 406.880590721684, 163.016091634738
69, 7083.69160683175, 2608.49137680623, 9332.342300818, 10008.8934785519, 103.151802034195, 317.907382714834, 163.016091634738
70, 6913.84277448794, 2537.04832571802, 9332.342300818, 10008.8934785519, 99.5663564752446, 302.875349351861, 163.016091634738
71, 231.892759662777, 53.8740174978739, 9332.342300818, 10008.8934785519, 25.1463145191584, 2.08372180932243, 163.016091634738
72, 3070.25391981304, 1055.07710555937, 9332.342300818, 10008.8934785519, 41.8690367825521, 71.9103837764061, 163.016091634738
73, 1108.07241813119, 353.402874221624, 9332.342300818, 10008.8934785519, 27.0352388087904, 10.2423082552727, 163.016091634738
74, 1725.23613131162, 566.230598398924, 9332.342300818, 10008.8934785519, 30.2364898559197, 24.4773762097306, 163.016091634738
75, 1540.03347809364, 507.432744868548, 9332.342300818, 10008.8934785519, 29.1412815614997, 19.4247691379213, 163.016091634738
76, 1275.34880204295, 413.314696495689, 9332.342300818, 10008.8934785519, 29.1997493523501, 19.5724215730199, 163.016091634738
77, 1550.18541951049, 508.687412638616, 9332.342300818, 10008.8934785519, 30.0817312636237, 24.1959372150699, 163.016091634738
78, 1960.31533476123, 658.214046790763, 9332.342300818, 10008.8934785519, 33.3897717854873, 37.0853562297795, 163.016091634738
79, 7308.63236404396, 2698.33817491619, 9332.342300818, 10008.8934785519, 106.816405151509, 335.141277385783, 163.016091634738
80, 7429.24678406069, 2753.13228905411, 9332.342300818, 10008.8934785519, 110.126553010432, 347.436750510126, 163.016091634738
81, 8610.23227555124, 3270.51693573668, 9332.342300818, 10008.8934785519, 141.053257721748, 469.221366747982, 163.016091634738
82, 8772.217433265, 3392.31362374524, 9332.342300818, 10008.8934785519, 146.92125967104, 493.878155027589, 163.016091634738
83, 8995.76032953736, 3554.92890181204, 9332.342300818, 10008.8934785519, 155.094011446046, 528.950558756583, 163.016091634738
84, 9134.17761850737, 3685.53168888405, 9332.342300818, 10008.8934785519, 161.50215655731, 557.288868357463, 163.016091634738
85, 8627.34925835051, 3476.91974852435, 9332.342300818, 10008.8934785519, 147.206559401999, 500.171070209389, 163.016091634738
86, 9425.65020747474, 3822.62731236103, 9425.65020747474, 10171.3008707282, 170.660648636671, 594.329355551175, 170.660648636671
87, 9507.71848426573, 3813.29019542713, 9507.71848426573, 10243.9198010619, 171.54527944014, 596.336718641102, 171.54527944014
