"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
4094, "Transformer.TR45", 20.371621366755, 27.7794836819387, 209.011462298825, 153.275072352472, 7.19955785679463, 42.5790237126346, 42.5790237124255, 42.5790237121345 
4095, "Line.L9", 310, 600, 141.470052844716, 73.0928606364365, 7.19955785679463, 438.557163817124, 438.557163818619, 438.557163817008 
4095, "Transformer.TR45", 20.371621366755, 27.7794836819387, 190.738505520009, 139.874904048007, 7.19955785679463, 38.8565261451434, 38.856526144973, 38.8565261447272 
4096, "Line.L9", 310, 600, 143.154700659314, 73.9632620073123, 7.19955785679463, 443.779572042327, 443.779572043874, 443.779572042112 
4096, "Transformer.TR45", 20.371621366755, 27.7794836819387, 161.984476269736, 118.78861593114, 7.19955785679463, 32.9988641785919, 32.9988641784707, 32.998864178292 
4097, "Line.L9", 310, 600, 130.192929561134, 67.2663469399192, 7.19955785679463, 403.598081638183, 403.598081639515, 403.598081637561 
4097, "Transformer.TR45", 20.371621366755, 27.7794836819387, 126.138847241575, 92.5018213104883, 7.19955785679463, 25.6965283564432, 25.6965283563706, 25.6965283562624 
4098, "Line.L9", 310, 600, 113.676865459619, 58.7330471541367, 7.19955785679463, 352.398282923859, 352.39828292482, 352.398282922766 
4099, "Line.L9", 310, 600, 112.972759771124, 58.3692592150808, 7.19955785679463, 350.21555528949, 350.215555290485, 350.215555288323 
4100, "Line.L9", 310, 600, 105.176236012896, 54.3410552733295, 7.19955785679463, 326.046331639168, 326.046331639977, 326.046331637835 
4101, "Line.L9", 310, 600, 110.720696724815, 57.2056933078212, 7.19955785679463, 343.234159845982, 343.234159846927, 343.23415984468 
4112, "Line.L9", 310, 600, 128.735320961706, 66.5132491635481, 7.19955785679463, 399.079494980017, 399.079494981289, 399.079494979079 
4113, "Line.L9", 310, 600, 134.521022476313, 69.5025282794284, 7.19955785679463, 417.015169675234, 417.01516967657, 417.015169674504 
4114, "Line.L9", 310, 600, 137.105510763292, 70.8378472277006, 7.19955785679463, 425.027083364763, 425.027083366204, 425.027083364231 
4114, "Transformer.TR45", 20.371621366755, 27.7794836819387, 131.508687042342, 96.4397038310509, 7.19955785679463, 26.7904517886568, 26.7904517885761, 26.7904517884578 
4115, "Line.L9", 310, 600, 140.11529752974, 72.392903723699, 7.19955785679463, 434.357422340751, 434.357422342194, 434.357422340401 
4115, "Transformer.TR45", 20.371621366755, 27.7794836819387, 154.291801877917, 113.147321377139, 7.19955785679463, 31.4317416785131, 31.4317416784024, 31.4317416782401 
4116, "Line.L9", 310, 600, 128.600101509728, 66.4433857800262, 7.19955785679463, 398.660314678808, 398.660314680157, 398.660314678341 
4116, "Transformer.TR45", 20.371621366755, 27.7794836819387, 177.216506204142, 129.958771216371, 7.19955785679463, 36.1018756432998, 36.1018756431533, 36.1018756429412 
4117, "Line.L9", 310, 600, 140.243760452804, 72.4592762339487, 7.19955785679463, 434.755657402234, 434.755657403692, 434.755657402086 
4117, "Transformer.TR45", 20.371621366755, 27.7794836819387, 202.734179865834, 148.671731901612, 7.19955785679463, 41.3002395032639, 41.300239503069, 41.3002395027929 
4118, "Line.L9", 310, 600, 144.268992548028, 74.538979483148, 7.19955785679463, 447.233876897325, 447.233876898888, 447.233876897206 
