hour, t(sec), P1 (kW), Q1 (kvar)
52, 900.00000, 977.045, 311.059
52, 1800.00000, 588.17, 173.924
52, 2700.00000, 893.339, 278.819
53, 0.00000, 1042.28, 329.634
53, 900.00000, 1096.93, 350.643
53, 1800.00000, 1191.63, 383.075
53, 2700.00000, 837.098, 262.18
54, 0.00000, 827.734, 258.31
54, 900.00000, 10165.1, 3931.24
54, 1800.00000, 7949.18, 2962.76
54, 2700.00000, 7490.61, 2771.72
55, 0.00000, 7141.25, 2626.18
55, 900.00000, 7484.68, 2776.38
55, 1800.00000, 7453.84, 2763.36
55, 2700.00000, 7446.95, 2760.51
56, 0.00000, 7440.69, 2757.93
56, 900.00000, 7821.09, 2914.58
56, 1800.00000, 8054.73, 3013.76
56, 2700.00000, 8149.67, 3054.36
57, 0.00000, 8316.07, 3125.3
57, 900.00000, 8378.18, 3151.79
57, 1800.00000, 8375.78, 3151.12
57, 2700.00000, 8428.56, 3173.74
58, 0.00000, 8461.91, 3188.03
58, 900.00000, 8485.56, 3198.31
58, 1800.00000, 8524.9, 3215.23
58, 2700.00000, 8571.13, 3235.22
59, 0.00000, 8625.76, 3258.76
59, 900.00000, 8690.42, 3286.79
59, 1800.00000, 8766.83, 3319.91
59, 2700.00000, 8883.87, 3370.34
60, 0.00000, 8983.29, 3413.54
60, 900.00000, 8543.08, 3222.44
60, 1800.00000, 8620.19, 3255.46
60, 2700.00000, 8702.08, 3290.67
61, 0.00000, 8779.5, 3323.93
61, 900.00000, 9421.25, 3604.14
61, 1800.00000, 9513.7, 3644.82
61, 2700.00000, 9576.74, 3672.62
62, 0.00000, 9612.13, 3688.26
62, 900.00000, 9633.93, 3698.06
62, 1800.00000, 9656.61, 3708.21
62, 2700.00000, 9665.25, 3712.16
63, 0.00000, 9666.87, 3713.03
63, 900.00000, 9657.55, 3709.1
63, 1800.00000, 9644.79, 3703.64
63, 2700.00000, 9616.83, 3691.51
64, 0.00000, 9581.31, 3676.06
64, 900.00000, 9565.01, 3668.83
64, 1800.00000, 9520.06, 3649.38
64, 2700.00000, 9494.35, 3638.18
65, 0.00000, 9473.1, 3628.89
65, 900.00000, 8845.93, 3353.73
65, 1800.00000, 8805.92, 3336.25
65, 2700.00000, 8809.25, 3337.69
66, 0.00000, 8813.96, 3339.76
66, 900.00000, 8152.62, 3056.18
66, 1800.00000, 8104.13, 3035.47
66, 2700.00000, 8094.45, 3031.39
67, 0.00000, 8084.37, 3027.11
67, 900.00000, 8062.46, 3018.08
67, 1800.00000, 8052.94, 3014.05
67, 2700.00000, 8046.73, 3011.37
68, 0.00000, 8037.06, 3007.3
68, 900.00000, 5337.4, 1898.37
68, 1800.00000, 6901.63, 2535.15
68, 2700.00000, 6840.56, 2508.46
69, 0.00000, 7083.73, 2608.65
69, 900.00000, 1532.79, 500.736
69, 1800.00000, 8509.48, 3201.67
69, 2700.00000, 7118.31, 2618.09
70, 0.00000, 6913.6, 2537.47
70, 900.00000, 6446.74, 2351.38
70, 1800.00000, 684.186, 207.894
70, 2700.00000, 232.523, 56.4041
71, 0.00000, 232.084, 53.8099
71, 900.00000, 918.978, 289.361
71, 1800.00000, 1607.51, 530.23
71, 2700.00000, 2328.91, 790.464
72, 0.00000, 3069.62, 1054.27
72, 900.00000, 2811.2, 958.417
72, 1800.00000, 1926.53, 636.989
72, 2700.00000, 1638.45, 539.855
73, 0.00000, 1108.69, 354.048
73, 900.00000, 1366.56, 443.953
73, 1800.00000, 1551.09, 506.048
73, 2700.00000, 1628.08, 532.409
74, 0.00000, 1725.12, 566.038
74, 900.00000, 1900.29, 632.798
74, 1800.00000, 2040.84, 680.323
74, 2700.00000, 2090.96, 698.491
75, 0.00000, 1540.07, 507.476
75, 900.00000, 1317.72, 429.83
75, 1800.00000, 1268.72, 414.101
75, 2700.00000, 1177.21, 379.377
76, 0.00000, 1275.48, 413.359
76, 900.00000, 1202.29, 386.939
76, 1800.00000, 1090.31, 346.247
76, 2700.00000, 1373.1, 444.659
77, 0.00000, 1550.12, 508.658
77, 900.00000, 1713.34, 564.942
77, 1800.00000, 2018.25, 673.287
77, 2700.00000, 2311.4, 782.262
78, 0.00000, 1960.25, 658.026
78, 900.00000, 9621.75, 3682.26
78, 1800.00000, 7177.41, 2641.19
78, 2700.00000, 7185.04, 2646.08
79, 0.00000, 7308.57, 2697.43
79, 900.00000, 7502.64, 2783.87
79, 1800.00000, 7443.37, 2758.9
79, 2700.00000, 7440.08, 2757.66
80, 0.00000, 7429.27, 2753.13
80, 900.00000, 8157.25, 3057.32
80, 1800.00000, 8504.35, 3206.13
80, 2700.00000, 8560.23, 3230.13
81, 0.00000, 8664.44, 3274.62
81, 900.00000, 8709.25, 3294.09
81, 1800.00000, 8776.48, 3323.23
81, 2700.00000, 8861.1, 3360.09
82, 0.00000, 8969.21, 3407.18
82, 900.00000, 9065.97, 3449.4
82, 1800.00000, 9184.5, 3500.93
82, 2700.00000, 9274.79, 3540.5
83, 0.00000, 9368.7, 3581.5
83, 900.00000, 9462.67, 3622.54
83, 1800.00000, 9548.68, 3660.26
83, 2700.00000, 9621.34, 3692.27
84, 0.00000, 9689.17, 3722.19
84, 900.00000, 9128.98, 3475.34
84, 1800.00000, 9135.02, 3477.83
84, 2700.00000, 9173.64, 3494.64
85, 0.00000, 9213.56, 3512.05
85, 900.00000, 9853.51, 3794.84
85, 1800.00000, 9960.31, 3842.61
85, 2700.00000, 9990.95, 3856.33
86, 0.00000, 10003.2, 3861.9
86, 900.00000, 10005.1, 3862.95
86, 1800.00000, 10001.3, 3861.41
86, 2700.00000, 9987.29, 3855.35
87, 0.00000, 9967.85, 3846.87
87, 900.00000, 9937.25, 3833.46
87, 1800.00000, 9906.95, 3820.2
87, 2700.00000, 9875.47, 3806.43
88, 0.00000, 9844.46, 3792.89
88, 900.00000, 9837.76, 3789.85
88, 1800.00000, 9799.38, 3773.2
88, 2700.00000, 9782.69, 3766
89, 0.00000, 9769.66, 3760.38
89, 900.00000, 9096.64, 3462.89
89, 1800.00000, 9046.16, 3440.69
89, 2700.00000, 9038.9, 3437.54
90, 0.00000, 9034.5, 3435.65
90, 900.00000, 8340.12, 3136.13
90, 1800.00000, 8284.93, 3112.44
90, 2700.00000, 8273.18, 3107.45
91, 0.00000, 8258.8, 3101.34
91, 900.00000, 8240.89, 3093.76
91, 1800.00000, 8227.66, 3088.13
91, 2700.00000, 8214.88, 3082.7
92, 0.00000, 8202.56, 3077.46
92, 900.00000, 5308.05, 1885.55
92, 1800.00000, 6800.41, 2483.15
92, 2700.00000, 7177.24, 2649.75
93, 0.00000, 7445.81, 2757.31
93, 900.00000, 1902.24, 635.133
93, 1800.00000, 8598.27, 3239.05
93, 2700.00000, 6665.46, 2430.44
94, 0.00000, 6996.41, 2576.94
94, 900.00000, 6401.45, 2338.36
94, 1800.00000, 918.873, 295.77
94, 2700.00000, 835.68, 260.177
95, 0.00000, 393.585, 107.785
95, 900.00000, 1260.85, 407.178
95, 1800.00000, 1913.19, 635.736
95, 2700.00000, 2892.15, 987.644
96, 0.00000, 3260.13, 1117.2
96, 900.00000, 3272.07, 1118.46
96, 1800.00000, 2662.41, 898.223
96, 2700.00000, 2220.16, 740.212
97, 0.00000, 1629.69, 533.306
97, 900.00000, 1482.35, 487.386
97, 1800.00000, 1717.08, 569.754
97, 2700.00000, 1595.18, 525.098
98, 0.00000, 1918.72, 638.392
98, 900.00000, 1584.85, 518.481
98, 1800.00000, 1594.93, 521.829
98, 2700.00000, 1583.58, 519.192
99, 0.00000, 1992.93, 660.673
99, 900.00000, 1913.27, 633.324
99, 1800.00000, 2172.83, 729.55
99, 2700.00000, 2286.67, 769.092
100, 0.00000, 2157.04, 719.351
100, 900.00000, 1694.49, 557.586
100, 1800.00000, 1703.85, 560.542
100, 2700.00000, 1607.62, 527.822
101, 0.00000, 1452.32, 472.912
101, 900.00000, 1886.02, 625.872
101, 1800.00000, 1456.03, 473.361
101, 2700.00000, 1769.29, 587.54
102, 0.00000, 1495.9, 491.587
102, 900.00000, 9925.24, 3826.94
102, 1800.00000, 7859.16, 2929.32
102, 2700.00000, 7015.64, 2574.79
103, 0.00000, 7241.4, 2669.62
103, 900.00000, 7536.43, 2798.61
103, 1800.00000, 7446.68, 2760.38
103, 2700.00000, 7442.02, 2758.49
104, 0.00000, 7432.24, 2754.36
104, 900.00000, 8257.91, 3100.49
104, 1800.00000, 8637.16, 3263.08
104, 2700.00000, 8673.78, 3278.89
105, 0.00000, 8731.87, 3304.15
105, 900.00000, 8795.26, 3331.54
105, 1800.00000, 8862.96, 3361.02
105, 2700.00000, 8951.3, 3399.57
106, 0.00000, 9051.65, 3443.41
106, 900.00000, 9143.37, 3483.54
106, 1800.00000, 9251.7, 3530.69
106, 2700.00000, 9337.35, 3568.24
107, 0.00000, 9432.98, 3609.92
107, 900.00000, 9516.7, 3646.58
107, 1800.00000, 9595.03, 3680.96
107, 2700.00000, 9665.36, 3711.89
108, 0.00000, 9730.34, 3740.57
108, 900.00000, 9163.87, 3490.76
108, 1800.00000, 9172.57, 3494.39
108, 2700.00000, 9204.9, 3508.5
109, 0.00000, 9233.3, 3520.92
109, 900.00000, 9875.01, 3804.57
109, 1800.00000, 9966.2, 3845.4
109, 2700.00000, 9988.6, 3855.49
110, 0.00000, 10004.1, 3862.47
110, 900.00000, 10011.5, 3866.01
110, 1800.00000, 10018.3, 3869.16
110, 2700.00000, 10017.7, 3869.04
111, 0.00000, 10014, 3867.57
111, 900.00000, 10004.9, 3863.69
111, 1800.00000, 9993.64, 3858.88
111, 2700.00000, 9969.48, 3848.33
112, 0.00000, 9939.37, 3835.15
112, 900.00000, 9927.72, 3829.91
112, 1800.00000, 9883.15, 3810.51
112, 2700.00000, 9856.43, 3798.79
